,Census Tract,Total Population,California County,County,countytrim,ZIP,Longitude,Latitude,Ozone,PM2.5,Diesel PM,Drinking Water,Pesticides,Tox. Release,Traffic,Cleanup Sites,Groundwater Threats,Haz. Waste,Imp. Water Bodies,Solid Waste,Asthma,Low Birth Weight,Cardiovascular Disease,Education,Linguistic Isolation,Poverty,Unemployment,Housing Burden
1074,6037532101,6663,Los Angeles,Los Angeles County,Los Angeles,90640,-118.1062505,34.0048535,0.046,12.05,17.21,303.02,0.18,9903.76925,805,5.9,6.9,0.05,2,1.65,54.54,6.2,10.97,39.5,27.8,57.1,6.8,30.2
1075,6037237600,4259,Los Angeles,Los Angeles County,Los Angeles,90044,-118.283872,33.9785135,0.046,12.05,26.33,664.07,0,4384.725081,4909.84,1.1,3,0,0,0,90.39,5.47,10.05,42.1,13.3,70.5,9.9,35.5
1076,6039000800,7027,Madera ,Madera County,Madera,93637,-120.0616242,36.9597277,0.062,12.05,17.911,326.09,0.29,3526.958288,580.47,13.1,10.5,0.06,0,0,94.46,5.33,12.23,50.2,23.9,72.8,6.5,20.1
1077,6059089004,7011,Orange ,Orange County,Orange,92703,-117.9245717,33.7524445,0.046,11.21,15.88,376.63,1.18,21749.33527,875.26,7.1,7,0.11,0,2,50.82,6.05,8.97,45.6,26.8,57.8,11.6,21.5
1078,6073011602,3228,San Diego,San Diego County,San Diego,91950,-117.0941732,32.6599903,0.04,11.21,60.33,267.03,0,566.9437924,547.95,9.75,7.6,0.25,2,4.6,79.8,6.36,10.3,39.4,20.2,63.8,9.8,23.8
1079,6065042513,3379,Riverside ,Riverside County,Riverside,92553,-117.2569855,33.9345424,0.065,12.89,22.822,747.77,0,764.5123952,1447.87,0.9,10,0,0,0,75.3,7.14,11.27,24.4,7,51.2,9.4,21.7
1080,6037601302,6856,Los Angeles,Los Angeles County,Los Angeles,90302,-118.3644426,33.9692979,0.046,12.05,22.65,172.72,0,2555.168722,2061.59,9.45,23.3,1.01,0,7.7,93.44,5.73,7.89,15.8,6.2,40.7,16.5,20.4
1081,6071006700,4486,San Bernardino,San Bernardino County,San Bernardino,92324,-117.3219438,34.083291,0.065,12.47,28.59,671.64,0,957.947091,283.63,8.75,0,0.1,1,0.6,93.92,4.17,15.98,44.1,9.3,67.9,15.2,25
1082,6037294421,2950,Los Angeles,Los Angeles County,Los Angeles,90710,-118.2975664,33.790373,0.042,11.21,20.399,442.05,0,8249.535655,955.34,15,6.5,5.775,12,4.5,52.31,3.44,9.61,35.3,21.3,60.9,11.3,21.7
1083,6077002504,3982,San Joaquin,San Joaquin County,San Joaquin,95206,-121.3103842,37.9244359,0.048,11.63,24.13,278.76,72.83,1554.599361,447.37,0.9,10,0.035,14,0.8,128.15,5.32,14.74,37,7.5,49.1,10.9,15.1
1084,6037104610,3672,Los Angeles,Los Angeles County,Los Angeles,91331,-118.4189927,34.2604355,0.055,11.21,22.449,618.05,0,698.2839237,828.15,19.75,2.5,0.135,0,0.7,73.79,5.51,7.7,50.6,30.6,55.9,11.2,44.8
1085,6037481500,4361,Los Angeles,Los Angeles County,Los Angeles,91801,-118.1127509,34.0822256,0.05,11.63,22.351,856.39,0,5532.808191,2508.81,17.2,17.4,0.11,0,5,34.4,8.43,6.43,22.1,26.1,45.3,8.1,21.1
1086,6037190401,3135,Los Angeles,Los Angeles County,Los Angeles,90027,-118.3027866,34.1035718,0.05,12.89,36.19,664.07,0,2472.22141,1117.24,0.9,0.75,0.16,0,0,51.93,7.04,11.2,8,26.9,45.9,14.2,30.3
1087,6037218702,2176,Los Angeles,Los Angeles County,Los Angeles,90018,-118.3337765,34.0334074,0.046,12.47,25.9,664.07,0,2431.521252,4697.99,1.6,0.75,0,0,0.5,82.72,7.04,8.81,25.1,8.8,59.3,21.2,28.8
